"Subject_ID","Condition_name","Condition_number","Radial_frequency","Amplitude","perimeter_cm","Block","Order","TargetNumber","TimeOfEvent","Found_or_Censored","TargetPos_X","TargetPos_Y"
"Exp1B_S12","RF8A10",10,8,0.5,20.4,1,4,3,10.2035684,1,-4.247397666,8.695669806
"Exp1B_S12","RF10A5",7,10,0.25,14.08,1,5,3,11.4403302,1,14.72651094,3.19212629
"Exp1B_S12","RF14A10",12,14,0.5,33.57,1,6,3,7.3704789,1,1.859936614,8.636476387
"Exp1B_S12","RF20A5",9,20,0.25,24.63,1,7,3,7.9547605,1,-3.173825293,-11.75940354
"Exp1B_S12","RF20A2",5,20,0.1,12.12,1,8,3,19.5270771,1,9.12541032,-11.02424842
"Exp1B_S12","RF10A10",11,10,0.5,24.73,1,9,3,11.5551609,1,15.28887285,3.808450586
"Exp1B_S12","RF14A2",4,14,0.1,10.01,1,10,3,17.6647907,1,4.002537442,-5.084369328
"Exp1B_S12","RF8A2",2,8,0.1,8.27,1,11,3,21.0033341,1,14.47586307,-15.75148978
"Exp1B_S12","RF14A5",8,14,0.25,18.18,1,12,3,12.7656746,1,6.272260498,-2.789425976
"Exp1B_S12","RF10A2",3,10,0.1,8.79,1,13,3,54.5366429,1,-1.202352743,-6.547329302
"Exp1B_S12","RF10A5",7,10,0.25,14.08,2,14,3,18.6340473,1,6.835019426,1.459592006
"Exp1B_S12","RF20A2",5,20,0.1,12.12,2,15,3,39.3472601,1,-13.80754986,-13.56131869
"Exp1B_S12","RF14A5",8,14,0.25,18.18,2,16,3,16.7597597,1,-14.22004794,-6.095777662
"Exp1B_S12","RF14A2",4,14,0.1,10.01,2,17,3,16.5381818,1,-9.543537055,-5.195233133
"Exp1B_S12","RF20A5",9,20,0.25,24.63,2,18,3,14.8591521,1,-0.663949408,-13.15232636
"Exp1B_S12","RF0A0",1,0,0,7.22,2,19,3,13.8712052,1,-2.100755563,-14.56201849
"Exp1B_S12","RF20A10",13,20,0.5,47.08,2,20,3,6.7582154,1,10.92542656,8.049142254
"Exp1B_S12","RF8A10",10,8,0.5,20.4,2,21,3,10.4809033,1,15.83498174,-14.4322715
"Exp1B_S12","RF8A2",2,8,0.1,8.27,2,22,3,16.5535707,1,2.396221769,-13.44039143
"Exp1B_S12","RF8A5",6,8,0.25,12.16,2,23,3,68.4024871,1,0.337636031,-6.551251919
"Exp1B_S12","RF10A10",11,10,0.5,24.73,2,24,3,7.6133916,1,6.470159953,-9.044339632
"Exp1B_S12","RF10A2",3,10,0.1,8.79,2,25,3,16.5087292,1,0.503651393,-3.945748063
"Exp1B_S12","RF14A10",12,14,0.5,33.57,2,26,3,5.4949751,1,1.519351176,1.795263804
"Exp1B_S12","RF8A5",6,8,0.25,12.16,1,1,4,11.1192723,1,-5.798823855,-9.530366555
"Exp1B_S12","RF0A0",1,0,0,7.22,1,2,4,60.1944606,1,3.015131589,-7.337710417
"Exp1B_S12","RF20A10",13,20,0.5,47.08,1,3,4,9.8289577,1,-4.670033794,-8.442704006
"Exp1B_S12","RF8A10",10,8,0.5,20.4,1,4,4,13.0994035,1,-15.51319372,8.308904304
"Exp1B_S12","RF10A5",7,10,0.25,14.08,1,5,4,56.311515,1,-9.542959152,-15.64884041
"Exp1B_S12","RF14A10",12,14,0.5,33.57,1,6,4,8.7864642,1,-5.113450142,12.41131681
"Exp1B_S12","RF20A5",9,20,0.25,24.63,1,7,4,9.1147035,1,-11.93655431,3.324483829
"Exp1B_S12","RF20A2",5,20,0.1,12.12,1,8,4,38.1591522,1,14.91687916,12.50285466
"Exp1B_S12","RF10A10",11,10,0.5,24.73,1,9,4,12.9949347,1,2.960742133,6.13126456
"Exp1B_S12","RF14A2",4,14,0.1,10.01,1,10,4,180,0,12.14838354,6.546576045
"Exp1B_S12","RF8A2",2,8,0.1,8.27,1,11,4,25.3712275,1,-9.245112322,-7.19392261
"Exp1B_S12","RF14A5",8,14,0.25,18.18,1,12,4,69.1406386,1,4.297198417,7.519874456
"Exp1B_S12","RF10A2",3,10,0.1,8.79,1,13,4,69.2963115,1,8.370924346,-14.384855
"Exp1B_S12","RF10A5",7,10,0.25,14.08,2,14,4,20.7540453,1,-2.118155971,-3.180989028
"Exp1B_S12","RF20A2",5,20,0.1,12.12,2,15,4,42.2590956,1,8.072444187,-8.770556493
"Exp1B_S12","RF14A5",8,14,0.25,18.18,2,16,4,42.0151318,1,-2.356141743,1.590544185
